text,label
hello this is emma from xyz collections how are you today,0
i am fine but i really do not have time for this right now,0
i understand i will be brief i am calling about your overdue account with xyz bank,0
look i have told you before i want my number on the do not call list,0
i apologize for that i will ensure your number is added to the do not call list right away,0
thank you that is what i have been asking for,0
you are welcome your request has been processed and you would not receive further calls,0
good thats all i wanted,0
thank you for your understanding have a great day,0
hello this is mark from xyz collections how are you today,0
i am doing well thank you what can i help you with,0
I am calling regarding an outstanding balance with your account before we proceed can you please verify your date of birth,0
sure it is january 15 1985,0
thank you for that can you also confirm your current address for verification,0
yes it is 123 maple street springfield,0
thank you for verifying your identity you currently have a balance of 250 how would you like to proceed with payment,0
i can pay half of it today and the rest next week,0
that sounds reasonable so you will be paying 125 today correct,0
yes that is correct,0
great how would you like to make that payment we accept online over the phone or by mail,0
i will do it online,0
perfect i will send you an email with the payment link and details thank you for your time today,0
thank you i appreciate your help,0
you are welcome have a great day,0
hello this is mark calling from xyz collections am i speaking with sarah,0
no this is not sarah you must have the wrong number,0
i apologize for the mix-up i was contacting sarah about an outstanding balance with xyz bank,0
i really do not know a sarah are you sure you dialed correctly,0
let me double-check that could i confirm the number i dialed is 555-1234,0
yes that is my number but i assure you i am not sarah,0
thank you for clarifying that i will update our records to ensure this number is removed,0
i appreciate that thank you for your help,0
you are welcome have a great day,0
hello this is mark calling from xyz collections how are you doing today,0
i am okay thanks what is this about,0
i appreciate your time i am calling regarding a debt associated with your account can you please verify your date of birth,0
sure it is january 15 1990,0
thank you for that information can you also confirm your current address,0
yes its 123 elm street springfield,0
thank you for verifying your identity i see that you have an outstanding balance of 250 how would you like to proceed with payment,0
i can pay 100 today and the rest next month,0
that sounds reasonable ill note that down can you provide your payment method,0
ill use my credit card,0
perfect please hold while i process that for you,0
okay im holding,0
thank you for your patience your partial payment has been processed successfully,0
great thank you for your help,0
you are welcome have a great day,0
hello this is mike from xyz collections am i speaking with jessica,0
yes this is jessica whats this about,0
i am calling regarding your outstanding balance with city credit before i provide any details could you please confirm your date of birth,0
sure its april 15 1990,0
thank you jessica can you also confirm your current address,0
its 123 maple street springfield,0
great i appreciate your cooperation you have an outstanding balance of 250 how would you like to handle this,0
i can pay 100 today and the rest next week,0
that works ill note the payment of 100 today can i set up the payment method,0
yes you can charge my credit card,0
thank you could you please provide the card number and expiration date,0
it is 4111 1111 1111 1111 expiring 1225,0
thank you for that information your payment has been processed is there anything else i can assist you with,0
no thats all for now thank you,0
you are welcome jessica have a great day,0
hello is this mr smith,0
yes this is he who is calling,0
this is sarah from xyz collections i am calling about your account can you please confirm your date of birth,0
sure it is january 15 1985,0
thank you for that information can you also provide your current address for verification,0
i live at 123 maple street springfield,0
thank you mr smith i can now confirm that you have an outstanding balance of 500 how would you like to address this,0
i can pay 200 today and the rest next week,0
that sounds reasonable i can process the 200 payment for you today do you have a preferred method of payment,0
yes ill use my debit card,0
great i will need the card number and expiration date to proceed,0
the card number is 1234-5678-9012-3456 and it expires in 1225,0
thank you mr smith your payment has been processed successfully is there anything else i can help you with today,0
no that will be all thank you for your help,0
hello is this john smith,0
yes this is john who is this,0
this is sarah from xyz collections i am calling about your account with metro credit how are you today,0
i am okay but i was not expecting any calls,0
i understand john i am here to discuss the outstanding balance on your account can you confirm your address for verification,0
i live at 123 maple street,0
thank you john you currently have a balance of 2500 how would you like to proceed with that today,0
